Time,frame,Class_name,box,Conf
2023-08-01 15:17:40,1,stain,"[333.6338195800781, 9.286628723144531, 414.9869079589844, 92.04116821289062]",0.8922162055969238
2023-08-01 15:17:40,1,stain,"[0.5791561603546143, 3.176140546798706, 41.246707916259766, 63.058719635009766]",0.7820345163345337
2023-08-01 15:17:40,1,stain,"[155.8992156982422, 17.81201934814453, 169.68113708496094, 33.281063079833984]",0.6793532967567444
2023-08-01 15:17:41,2,stain,"[332.9773864746094, 5.019478797912598, 415.50274658203125, 91.51004028320312]",0.8829361796379089
2023-08-01 15:17:41,2,stain,"[0.616754412651062, 2.782909870147705, 40.7346076965332, 64.41431427001953]",0.7087870240211487
2023-08-01 15:17:41,2,stain,"[155.68272399902344, 16.879472732543945, 169.80038452148438, 34.09960174560547]",0.680268406867981
2023-08-01 15:17:42,3,stain,"[333.4496765136719, 5.550487518310547, 415.3184814453125, 91.9488525390625]",0.8818195462226868
2023-08-01 15:17:42,3,stain,"[0.6053513884544373, 2.660933256149292, 41.02946090698242, 64.8716049194336]",0.7063983678817749
2023-08-01 15:17:42,3,stain,"[155.6915283203125, 16.857587814331055, 169.84378051757812, 34.235252380371094]",0.687938928604126
2023-08-01 15:17:42,4,stain,"[333.1556701660156, 5.407668113708496, 415.5105895996094, 91.30496978759766]",0.8848620057106018
2023-08-01 15:17:42,4,stain,"[0.6089049577713013, 2.669818639755249, 41.025634765625, 64.57547760009766]",0.7059054970741272
2023-08-01 15:17:42,4,stain,"[155.6763916015625, 16.86445426940918, 169.8502655029297, 34.235477447509766]",0.687541663646698
2023-08-01 15:17:43,5,stain,"[333.56182861328125, 5.160513877868652, 415.7003173828125, 92.03379821777344]",0.8813484907150269
2023-08-01 15:17:43,5,stain,"[0.6907918453216553, 2.890730857849121, 41.14128112792969, 63.977664947509766]",0.740545928478241
2023-08-01 15:17:43,5,stain,"[155.6660919189453, 17.097702026367188, 170.23574829101562, 34.09784698486328]",0.7097330689430237
2023-08-01 15:17:44,6,stain,"[333.4300537109375, 5.0275421142578125, 415.9991455078125, 91.81188201904297]",0.8830377459526062
2023-08-01 15:17:44,6,stain,"[0.7425484657287598, 2.924440860748291, 41.53661346435547, 63.78689193725586]",0.7380019426345825
2023-08-01 15:17:44,6,stain,"[155.69866943359375, 17.13869857788086, 170.03155517578125, 34.12074661254883]",0.7059668898582458
2023-08-01 15:17:44,7,stain,"[333.1206970214844, 4.789432048797607, 415.07183837890625, 91.68058013916016]",0.8849968314170837
2023-08-01 15:17:44,7,stain,"[0.5800628662109375, 3.2837913036346436, 39.70498275756836, 64.10258483886719]",0.7703821659088135
2023-08-01 15:17:44,7,stain,"[155.7962646484375, 17.222400665283203, 169.88473510742188, 33.59107971191406]",0.698167622089386
2023-08-01 15:17:45,8,stain,"[332.7686462402344, 5.557688236236572, 415.672607421875, 91.56556701660156]",0.888698935508728
2023-08-01 15:17:45,8,stain,"[0.5693846940994263, 3.2409844398498535, 40.41048049926758, 64.16722106933594]",0.7709280252456665
2023-08-01 15:17:45,8,stain,"[155.8112030029297, 17.235183715820312, 169.86083984375, 33.57797622680664]",0.698279857635498
2023-08-01 15:17:45,9,stain,"[333.053466796875, 5.617802143096924, 415.3672180175781, 91.50455474853516]",0.8861278295516968
2023-08-01 15:17:45,9,stain,"[0.5578144192695618, 3.065678596496582, 40.667152404785156, 65.7413101196289]",0.7753298282623291
2023-08-01 15:17:45,9,stain,"[155.78109741210938, 17.32615089416504, 169.85720825195312, 33.50873565673828]",0.6928567886352539
2023-08-01 15:17:46,10,stain,"[332.74688720703125, 6.171628952026367, 415.6295166015625, 91.64390563964844]",0.8859544396400452
2023-08-01 15:17:46,10,stain,"[0.5926748514175415, 2.95762300491333, 41.17169952392578, 65.12303161621094]",0.7780990600585938
2023-08-01 15:17:46,10,stain,"[155.74562072753906, 17.362646102905273, 169.8699493408203, 33.468475341796875]",0.695431649684906
2023-08-01 15:17:46,11,stain,"[332.5216979980469, 7.712226390838623, 415.5110168457031, 91.7927017211914]",0.8837321400642395
2023-08-01 15:17:46,11,stain,"[0.5667173266410828, 3.126044750213623, 40.52192687988281, 64.72154998779297]",0.7766750454902649
2023-08-01 15:17:46,11,stain,"[155.7783966064453, 17.373952865600586, 169.8679962158203, 33.56061553955078]",0.6956136226654053
2023-08-01 15:17:47,12,stain,"[332.4486999511719, 6.215137004852295, 415.6566467285156, 91.91702270507812]",0.8930893540382385
2023-08-01 15:17:47,12,stain,"[0.5897346138954163, 3.287048578262329, 40.373878479003906, 63.48920440673828]",0.7796679139137268
2023-08-01 15:17:47,12,stain,"[155.6714324951172, 17.610084533691406, 169.77725219726562, 33.461116790771484]",0.7028907537460327
2023-08-01 15:17:47,13,hole,"[335.9628601074219, 22.16815757751465, 412.7716064453125, 94.38453674316406]",0.9087696075439453
2023-08-01 15:17:47,13,stain,"[0.0, 4.514207363128662, 41.66617202758789, 61.306636810302734]",0.8297473788261414
2023-08-01 15:17:47,13,stain,"[154.53546142578125, 17.5666561126709, 170.87631225585938, 33.96429443359375]",0.685038685798645
2023-08-01 15:17:47,13,stain,"[246.41799926757812, 0.0, 259.4101257324219, 9.435748100280762]",0.3795214891433716
2023-08-01 15:17:48,14,hole,"[335.5474853515625, 22.095794677734375, 413.1478271484375, 94.86748504638672]",0.9158197641372681
2023-08-01 15:17:48,14,stain,"[0.0, 3.4160966873168945, 40.50436019897461, 61.46352005004883]",0.8269174098968506
2023-08-01 15:17:48,14,stain,"[154.58050537109375, 17.53019142150879, 170.8849639892578, 33.77055358886719]",0.6829270124435425
2023-08-01 15:17:48,14,stain,"[246.40419006347656, 0.0, 259.58392333984375, 9.40837287902832]",0.36333754658699036
2023-08-01 15:17:48,15,hole,"[336.14385986328125, 21.9426326751709, 412.6253356933594, 93.98853302001953]",0.9268598556518555
2023-08-01 15:17:48,15,stain,"[0.0, 3.7626237869262695, 40.38262176513672, 61.17319869995117]",0.8282725811004639
2023-08-01 15:17:48,15,stain,"[154.5457000732422, 17.211881637573242, 171.0726776123047, 33.65838623046875]",0.6931319832801819
2023-08-01 15:17:48,15,stain,"[246.40130615234375, 0.0, 259.3852233886719, 9.284674644470215]",0.34761345386505127
2023-08-01 15:17:49,16,hole,"[336.4839172363281, 22.318527221679688, 413.3132019042969, 94.36236572265625]",0.9074543714523315
2023-08-01 15:17:49,16,stain,"[0.0, 2.595731496810913, 40.180076599121094, 61.4395751953125]",0.8139917254447937
2023-08-01 15:17:49,16,stain,"[154.459228515625, 17.238998413085938, 171.06272888183594, 33.48358154296875]",0.690835177898407
2023-08-01 15:17:49,16,stain,"[245.7845458984375, 0.0, 260.375244140625, 9.62157917022705]",0.35634177923202515
2023-08-01 15:17:50,17,hole,"[336.04840087890625, 22.302505493164062, 413.62896728515625, 93.7906265258789]",0.8848777413368225
2023-08-01 15:17:50,17,stain,"[0.0, 3.19427490234375, 40.20524978637695, 60.02040100097656]",0.8149846196174622
2023-08-01 15:17:50,17,stain,"[154.6383056640625, 17.258712768554688, 171.1981964111328, 33.44805908203125]",0.6922445297241211
2023-08-01 15:17:50,17,stain,"[246.36325073242188, 0.0, 259.47698974609375, 9.432361602783203]",0.3791646361351013
2023-08-01 15:17:50,18,stain,"[0.13271625339984894, 6.079195499420166, 40.98390579223633, 60.33774948120117]",0.8223472237586975
2023-08-01 15:17:50,18,hole,"[335.699951171875, 22.286823272705078, 412.8185119628906, 93.7592544555664]",0.7690538167953491
2023-08-01 15:17:50,18,stain,"[154.6309814453125, 17.27427101135254, 171.2267608642578, 33.32640075683594]",0.6948570609092712
2023-08-01 15:17:50,18,stain,"[246.31930541992188, 0.0, 259.5235595703125, 9.404131889343262]",0.37081378698349
2023-08-01 15:17:50,18,stain,"[335.3103942871094, 22.505971908569336, 412.92724609375, 94.66789245605469]",0.3166678845882416
2023-08-01 15:17:51,19,stain,"[0.0, 4.1836724281311035, 39.60909652709961, 61.04062271118164]",0.8122262954711914
2023-08-01 15:17:51,19,stain,"[154.48040771484375, 17.44755744934082, 170.99070739746094, 33.478328704833984]",0.6914104223251343
2023-08-01 15:17:51,19,hole,"[336.127197265625, 22.43526840209961, 413.8878479003906, 93.48052978515625]",0.6879861354827881
2023-08-01 15:17:51,19,stain,"[246.281982421875, 0.0, 259.5434265136719, 9.555840492248535]",0.3813316822052002
2023-08-01 15:17:52,20,stain,"[0.0, 4.650180816650391, 40.051025390625, 61.42958068847656]",0.8200836181640625
